function,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101
WC2n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WC2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WD1n,0,1,0,0,0,3,1,0,1,3,0,2,3,0,0,2,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,3,2,0,3,0,2,0,1,3,2,0,2,0,0,0,0,0,2,2,0,1,3,3,0,0,0,0,0,2,1,3,1,0,2,2,0,2,0,0,0,0,2,3,0,0,0,1,2,0,0,1,3,1,0,1,1,1,0,0,1,0,0,2,0,0,0
WD1p,1,0,1,1,1,0,0,3,0,0,1,0,0,3,3,0,3,2,1,3,0,3,1,2,2,0,1,0,2,1,2,2,2,0,2,2,0,0,1,0,1,0,1,0,0,0,2,0,2,2,2,3,3,0,0,1,0,0,0,3,3,3,2,1,0,0,0,0,3,0,0,2,0,1,2,1,1,0,0,2,2,2,0,0,2,1,0,0,0,1,0,0,0,1,1,0,1,1,0,3,1,1
WD2n,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
WD2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
WT1n,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,1,3,1,1,0,2,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,1,2,1,0,0,0,2,0,1,0,0,0
WT1p,3,0,2,1,4,1,0,2,0,0,1,0,0,1,1,0,2,3,0,3,0,4,0,2,2,1,2,0,3,1,2,3,3,0,1,1,0,0,2,0,2,1,1,0,0,0,0,1,2,3,1,3,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
WT2n,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
WT2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
time,0.0193541,0.00394297,0.00192714,0.00175619,0.0036211,0.00278878,0.00105906,0.00314808,0.00261402,0.00187492,0.00289702,0.00242019,0.00332499,0.00406694,0.00314188,0.00638294,0.00505185,0.00334096,0.00184107,0.00283194,0.00356007,0.00328994,0.00145817,0.00327992,0.00247407,0.00259686,0,0.00258994,0.00331998,0,0.00564003,0.00439692,0.00234795,0.00321388,0.00225782,0.00277209,0.00193715,0.00198102,0,0.00360298,0,0.00204587,0.00232005,0.00332785,0.00212407,0.00198293,0.00202489,0.00191498,0.00265002,0.00367308,0.00183201,0.00419807,0.00253081,0.00170207,0.00204206,0,0.00204587,0.002424,0.00335908,0.00355101,0.00168896,0.00271606,0.00318384,0.00209904,0.00211906,0.00221491,0.00206804,0.00204492,0.00173306,0.00240088,0.002177,0.00216818,0.00394607,0.00304604,0.00197601,0,0.0017159,0.00267506,0.00225282,0.00217986,0.00218987,0.00228286,0.00232291,0.001791,0.00217009,0.00166607,0.00212789,0.00180387,0.00383615,0.00205803,0.0023849,0.00434017,0.004457,0,0,0,0.00255609,0,0.00190806,0.00234509,0.00147319,0.00244594
objective,7,9,6,5,8,7,4,8,8,6,5,5,7,7,7,9,8,8,5,9,8,10,4,7,7,8,10,7,10,7,9,9,9,8,7,8,7,6,10,8,8,7,9,9,9,8,7,8,9,9,8,9,8,7,6,7,8,8,9,8,7,8,10,6,6,7,7,7,6,7,7,6,9,9,6,8,6,7,7,7,7,7,9,6,7,6,7,6,6,7,9,10,10,10,7,7,6,9,6,9,4,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,0.0057559,0.00540996,0.00211692,0.00165915,0.00380802,0.00270796,0.00198603,0.00301909,0.00374007,0.0024159,0.00166798,0.00172901,0.00423598,0.00405312,0.00324082,0.00298285,0.00393391,0.00323391,0.00202489,0.00281692,0.00274396,0.00261092,0.00134206,0.00404286,0.00300503,0.00327301,0.00477815,0.00266719,0.00511503,0.00451589,0.00676799,0.00404692,0.00348186,0.00449491,0.00278187,0.00452304,0.0040679,0.0025599,0.00391603,0.00436497,0.00353312,0.00289583,0.00353193,0.00486612,0.00397396,0.00397086,0.00279808,0.00321889,0.00242782,0.00264597,0.00351691,0.00392199,0.00230289,0.00251794,0.00243592,0.00312805,0.00289083,0.00278187,0.00373292,0.00313592,0.00229788,0.00234795,0.00297403,0.00182414,0.00180101,0.002141,0.00196409,0.00403595,0.00235796,0.00403714,0.00372696,0.00212479,0.00425601,0.00438094,0.0023222,0.00289011,0.002244,0.00256491,0.00274801,0.00239515,0.002352,0.00225592,0.00274014,0.00208497,0.00229788,0.002388,0.00247693,0.00199103,0.00235605,0.00292802,0.00397205,0.00474405,0.00377703,0.00564599,0.00261092,0.00257087,0.00202799,0.00379801,0.00285506,0.00282502,0.00152707,0.0031352
objective,7,9,6,5,8,7,4,8,8,6,5,5,7,7,7,9,8,8,5,9,8,10,4,7,7,8,10,7,10,7,9,9,9,8,7,8,7,6,10,8,8,7,9,9,9,8,7,8,9,9,8,9,8,7,6,7,8,8,9,8,7,8,10,6,6,7,7,7,6,7,7,6,9,9,6,8,6,7,7,7,7,7,9,6,7,6,7,6,6,7,9,10,10,10,7,7,6,9,6,9,4,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduce time,-2.362480238,0.271164667,0.089649113,-0.05848778,0.049085877,-0.029845345,0.466745215,-0.042724795,0.301077253,0.223924831,-0.736843367,-0.399754773,0.215060033,-0.003409719,0.03052931,-1.139879645,-0.28418037,-0.033102344,0.09078024,-0.005332065,-0.297420516,-0.260069248,-0.086516251,0.188712941,0.176690416,0.206583542,1,0.028963066,0.350936358,1,0.166661003,-0.086485525,0.325662146,0.284995695,0.188380478,0.387117956,0.523796062,0.226133833,1,0.174569356,1,0.293511705,0.343121183,0.316118386,0.465502924,0.500629587,0.276328768,0.405080633,-0.091522436,-0.388179004,0.479085333,-0.070392836,-0.098971293,0.324022812,0.161688397,1,0.292289758,0.128643682,0.100146802,-0.132366259,0.26499208,-0.156779318,-0.070547372,-0.150701152,-0.176595355,-0.034521252,-0.052925273,0.493323753,0.265017218,0.405301773,0.41587782,-0.020420842,0.072824077,0.304706296,0.14907846,1,0.235338681,-0.042944977,0.18019949,0.089885811,0.068932823,-0.011941913,0.152265943,0.140994834,0.055612129,0.302315745,0.140916376,0.094001597,-0.628212474,0.297125703,0.399579562,0.08513401,-0.180027694,1,1,1,-0.260405623,1,0.331691803,0.169885523,0.035283255,0.219845624
reduce cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
