function,f5059,f5060,f5061,f5062,f5063,f5064,f5065,f5066,f5067,f5068,f5069,f5070,f5071,f5072,f5073,f5074,f5075,f5076,f5077,f5078,f5079,f5080,f5081,f5082,f5083,f5084,f5085,f5086,f5087,f5088,f5089,f5090,f5091,f5092,f5093,f5094,f5095,f5096,f5097,f5098,f5099,f5100,f5101,f5102,f5103,f5104,f5105,f5106,f5107,f5108,f5109
WI2p,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
WJ1n,20,2,3,1,0,0,0,16,14,0,1,1,15,1,4,0,0,4,0,2,4,0,0,3,1,0,1,0,15,0,0,0,4,15,3,3,11,4,5,0,0,0,0,0,0,1,0,1,0,1,0
WJ1p,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,4,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1
WJ2n,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WJ2p,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
WK1n,20,2,0,1,0,0,0,16,0,0,1,0,15,1,4,0,0,4,0,2,4,0,0,3,1,0,1,0,15,26,0,0,4,15,3,0,11,0,5,0,0,0,0,0,0,1,0,1,0,1,0
WK1p,0,0,3,0,0,0,4,0,14,1,0,1,0,0,0,1,5,0,1,0,0,4,4,0,0,1,0,1,0,0,0,0,0,0,0,3,0,5,0,2,1,0,0,0,0,0,1,0,1,0,1
WK2n,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WK2p,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
WL1n,20,2,0,1,6,5,0,16,0,0,0,0,15,1,4,0,5,4,0,2,4,0,0,3,1,0,1,0,15,26,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,1,0,1,0,1,0
WL1p,0,0,3,0,0,0,4,0,14,1,1,1,0,0,0,1,0,0,1,0,0,4,4,0,0,10,0,1,0,0,0,0,0,15,0,3,0,5,5,2,1,0,0,0,0,0,1,0,0,0,1
WL2n,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WL2p,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
WM1n,20,0,0,1,6,0,0,16,0,0,0,0,0,1,0,0,5,4,0,2,4,0,0,3,0,0,0,0,15,0,0,6,4,0,0,0,11,0,0,21,0,0,0,0,0,1,0,1,0,0,0
WM1p,0,2,3,0,0,5,4,0,14,1,1,1,15,0,4,1,0,0,1,0,0,4,4,0,1,10,14,1,0,26,0,0,0,15,3,3,0,5,5,0,1,0,0,1,1,0,1,0,0,1,1
